Date,Month_Year,Total_Flights,Fuel_Price_Per_Litre,Delay_Rate,On_Time_Performance,Avg_Load_Factor,Cancellation_Rate
2025-01-31,Jan-25,2100,92,0.11,0.89,0.89,0.01
2025-02-28,Feb-25,2120,94,0.13,0.87,0.88,0.01
2025-03-31,Mar-25,2150,93,0.15,0.85,0.87,0.02
2025-04-30,Apr-25,2200,98,0.18,0.82,0.85,0.02
2025-05-31,May-25,2250,102,0.20,0.80,0.84,0.03
2025-06-30,Jun-25,2300,105,0.22,0.78,0.82,0.03
2025-07-31,Jul-25,2350,108,0.25,0.75,0.80,0.04
2025-08-31,Aug-25,2400,112,0.28,0.72,0.78,0.05
2025-09-30,Sep-25,2420,115,0.30,0.70,0.75,0.05
2025-10-31,Oct-25,2450,118,0.32,0.68,0.73,0.06
2025-11-30,Nov-25,2480,120,0.35,0.65,0.71,0.07
2025-12-31,Dec-25,2500,122,0.38,0.62,0.69,0.08
2026-01-31,Jan-26 (Forecast),2550,128,0.40,0.60,0.67,0.09
2026-02-28,Feb-26 (Forecast),2580,130,0.42,0.58,0.65,0.10
2026-03-31,Mar-26 (Forecast),2600,135,0.44,0.56,0.63,0.11
2026-04-30,Apr-26 (Forecast),2620,138,0.46,0.54,0.61,0.12
2026-05-31,May-26 (Forecast),2650,142,0.48,0.52,0.59,0.13
2026-06-30,Jun-26 (Forecast),2700,145,0.50,0.50,0.58,0.15
